text,predicted_label,confidence
"This guy has no business mentioning “rule of law.”  Checks and balances? There are none in California. Illegal aliens. Millions of them. Obstructing ICE. He wants rule of law but he should be behind bars under the law.

How absurd!",anger,0.5269
More snake oil,sadness,0.5571
"For the self enriching destroyer of wealth and freedom, one very large state is never enough.",sadness,0.6118
How stupid can you be Gavin? The Dems let tens of millions of illegals into our country and they are eating up tax payers money by getting benefits that even some of our citizens don’t get. You let them in and will let them vote just you and your corrupt cronies can take over our,joy,0.3316
Gavin Narcissist,sadness,0.5322
How about FIX CALIFORNIA FIRST,sadness,0.4216
Gaslighting at its finest!,sadness,0.6859
"The mobsters on the west coast & east coast love tapping into the fears and feelings of their weak followers. The power hungry leaches of our gov are fearful they’re losing power and the support of the people. 
@GavinNewsom
 is the scum of the earth and him and his extended family",neutral,0.7077
THE RULE OF LAW?!?!?,anger,0.3209
No,sadness,0.4455
You don't do that by bringing in 20 million migrants illegally,sadness,0.624
"Optimism is great, but Newsom’s throwing down the gauntlet. Rule of law isn’t a suggestion it’s the only way forward.",sadness,0.5913
He will convert to Islam and become a Ugandan citizen next.,sadness,0.6316
says the guy that just rigged a vote to circumvent the law in his own state.,sadness,0.6191
"@This
 guy is a low rate con man there not one thing he didn't destroy in California.",anger,0.5705
You’re not taking back anything. You’re the worst Governor since Gray Davis and we recalled him. My Chihuahua could run this State better than you. Me? I’d preside over the resurrection and subsequent golden age of California. Get real.,sadness,0.3446
As he Gavinmanders his own state into oblivion,sadness,0.5827
"Wow, does Newsom own a mirror? He could use one!

Let's see: Exec Order on Universal Mail-in Ballots—direct court hearing against him. Alleged misuse of taxpayer funds for campaign-related rally. Non-compliance with Federal Commercial Driver's License (CDL) Rules for",surprise,0.5296
He knows nothing about the rule of law. Never has followed it.,sadness,0.484
Let’s Stand up too pee,sadness,0.575
Newsom has accomplished nothing in California other than create division and ramped up the rhetoric .,surprise,0.7944
Can’t even govern his state but wants people to trust him with a nation? That is the definition of insanity,neutral,0.5374
"Thank you Elon Musk for X, you saved free speech, we know the truth about the media.. what about the pipe bomber, where is that story, where are the stories about the agents getting shot at?",joy,0.9983
He seems to have completely abandon his office of governor of California!,sadness,0.4528
Demonrats know nothing about democracy.,sadness,0.6101
"A huge lawsuit against Newscom over his Prop 50 campaign.  Good luck schmuck for violating California’s constitution.

Prop 50 will be recalled 
@GavinNewsom",neutral,0.8327
"Great words... Hope, optimism, stand up for rule of law, system of checks & balances, stand up for democracy.

All that word cabbage boils down to, ""We Democrats want power and we will go to whatever lengths we think it will take to get it.

We will bend the law and use it as a",joy,0.4847
Oh please,sadness,0.5029
Biggest POS politician in my lifetime,sadness,0.6505
Loser of the year!,sadness,0.4803
"Meaning translated- ""Let's make America like California! Who's with me?""",surprise,0.698
This guy is gay,sadness,0.5474
"He will nuke the filibuster the second he gets the chance and ram through every leftist socialist crap he can. We are at the precipice of not having a country, again!",neutral,0.9838
"+
Don’t know what you’re talking about Newscum
Do you 
.",sadness,0.6366
I’ll bet if we were in the 1800s this dude would be standing on a stagecoach hocking snake oil.,sadness,0.6492
"He doesn’t believe in law and order, he won’t even implement Prop 36.",surprise,0.797
Newsom in Texas - what the heck?,surprise,0.493
"Gavin. Lock my A$$. You POS  
@CAgovernor
 
@GavinNewsom",sadness,0.6932
Quit giving this scumbag tv time ….we should all ignore this evil useless man,sadness,0.6006
